Row,userid,mood,activity.daily_routines,activity.emotional,activity.entertainment,activity.intellectual,activity.live_music,activity.music_listening,activity.on_the_move,activity.physical,activity.social
Row 3561,353,uplifting,0,0,0,1,0,0,0,0,0
Row 3562,354,aggressive,0,0,0,1,0,0,0,0,1
Row 3563,354,amazed,0,0,0,0,0,0,0,1,0
Row 3564,354,bored,0,0,0,1,0,0,0,0,1
Row 3565,354,dreamy,1,0,1,0,0,0,0,0,0
Row 3566,354,furious,0,1,0,1,0,0,0,0,0
Row 3567,354,heroic,0,0,1,0,0,0,0,0,0
Row 3568,354,hot,,,,,,,,,
Row 3569,354,passionate,0,1,0,0,0,0,0,0,0
Row 3570,354,positive,0,0,0,0,0,0,1,0,0
Row 3571,354,sensual,0,0,0,1,0,0,0,0,0
Row 3572,354,severe,0,0,1,1,0,0,1,1,0
Row 3573,354,slow,0,0,0,1,0,0,0,0,1
Row 3574,354,tranquil,1,0,0,0,0,0,0,1,0
Row 3575,356,enthusiastic,1,1,0,0,0,0,1,0,1
Row 3576,360,adorable,0,1,0,0,0,0,0,0,0
Row 3577,360,aggressive,0,0,0,0,1,0,0,0,0
Row 3578,360,angry,0,0,0,0,0,0,0,1,0
Row 3579,360,animated,,,,,,,,,
Row 3580,360,cool,0,0,0,0,0,0,1,0,0
Row 3581,360,deep,0,0,0,0,0,1,0,0,0
Row 3582,360,delighted,0,0,0,0,0,0,0,0,1
Row 3583,360,dramatic,0,1,0,0,0,0,0,0,0
Row 3584,360,driving,0,0,0,0,0,0,1,0,0
Row 3585,360,easy,0,1,0,0,0,1,0,0,0
Row 3586,360,elegant,0,0,1,0,0,0,0,0,0
Row 3587,360,euphoric,0,0,1,0,0,0,0,0,0
Row 3588,360,excited,0,0,1,0,0,0,0,0,0
Row 3589,360,fast,0,0,0,0,0,0,0,1,0
Row 3590,360,festive,0,1,0,0,0,0,0,0,0
Row 3591,360,friendly,0,0,0,0,0,0,1,0,0
Row 3592,360,funny,1,0,0,0,0,0,0,0,0
Row 3593,360,furious,0,0,0,0,0,0,1,0,0
Row 3594,360,good,0,0,1,0,0,0,0,0,0
Row 3595,360,hot,0,0,0,0,0,0,1,0,0
Row 3596,360,interested,0,0,0,0,0,0,0,1,0
Row 3597,360,joyful,0,0,0,0,0,0,1,1,0
Row 3598,360,jumpy,0,0,0,0,0,0,0,1,0
Row 3599,360,melancholic,0,1,0,0,0,0,0,0,0
Row 3600,360,moody,0,1,0,0,0,0,0,0,0
Row 3601,360,nocturnal,0,0,0,0,0,1,0,0,0
Row 3602,360,passionate,0,1,0,0,0,0,0,0,0
Row 3603,360,peaceful,0,1,0,0,0,0,0,0,0
Row 3604,360,playful,0,0,1,0,0,0,0,0,0
Row 3605,360,powerful,0,1,0,0,0,0,0,0,0
Row 3606,360,pulsating,0,1,0,0,0,0,0,0,0
Row 3607,360,reflective,0,0,0,0,0,0,1,0,0
Row 3608,360,repetitive,0,0,0,0,0,0,1,0,0
Row 3609,360,retro,0,0,0,0,0,0,1,0,0
Row 3610,360,rhythmical,0,0,1,0,0,0,0,0,0
Row 3611,360,romantic,0,1,0,0,0,0,0,0,0
Row 3612,360,satisfied,1,0,0,0,0,0,0,0,0
Row 3613,360,sentimental,0,0,0,0,0,1,0,0,0
Row 3614,360,serene,0,1,0,0,0,0,0,0,0
Row 3615,360,severe,0,0,1,0,0,0,0,0,0
Row 3616,360,slow,0,1,0,0,0,1,0,0,0
Row 3617,360,soft,0,1,0,0,0,1,0,0,0
Row 3618,360,spontaneous,0,0,0,0,0,0,1,0,0
Row 3619,360,strong,0,0,1,0,0,0,0,0,0
Row 3620,360,successful,0,0,0,0,0,0,0,1,0
Row 3621,360,tragic,0,1,0,0,0,0,0,0,0
Row 3622,360,tranquil,0,0,0,0,0,0,0,1,0
Row 3623,360,uplifting,0,0,1,0,0,0,0,0,0
Row 3624,364,peaceful,0,1,1,1,0,1,0,1,0
Row 3625,368,playful,0,0,0,0,0,0,0,0,1
Row 3626,371,celebratory,0,0,0,0,0,0,0,1,0
Row 3627,371,fast,0,0,0,0,1,0,0,0,0
Row 3628,371,sad,0,0,0,0,1,0,1,0,1
Row 3629,374,epic,0,0,0,0,0,1,0,0,0
Row 3630,374,reflective,0,1,0,0,0,0,0,0,0
Row 3631,374,relaxed,0,0,0,0,0,1,0,1,1
Row 3632,374,stylish,,,,,,,,,
Row 3633,375,spiritual,0,1,0,0,0,0,0,0,0
Row 3634,376,amazed,1,1,0,0,0,1,0,0,0
Row 3635,376,deep,0,1,0,0,0,1,0,0,1
Row 3636,376,delighted,0,1,1,0,0,1,0,0,1
Row 3637,376,easy,1,0,0,0,1,1,0,0,0
Row 3638,376,free,1,0,0,0,1,1,0,0,0
Row 3639,376,fun,0,0,0,0,1,1,1,0,1
Row 3640,376,playful,0,0,0,0,0,1,1,0,1
Row 3641,376,religious,0,0,0,0,0,1,0,0,1
Row 3642,376,romantic,0,1,0,0,0,1,0,0,1
Row 3643,376,sensual,0,1,0,0,0,0,0,0,0
Row 3644,376,tragic,0,0,1,0,0,1,1,1,0
Row 3645,376,tranquil,0,1,0,0,0,1,1,0,0
Row 3646,376,uplifting,0,0,0,0,1,1,0,1,1
Row 3647,378,amazed,0,0,1,0,1,1,0,1,1
Row 3648,378,bitchy,0,0,0,1,1,1,1,1,0
Row 3649,378,dramatic,0,0,0,0,0,0,1,0,0
Row 3650,378,enthusiastic,0,0,1,0,1,1,1,1,0
Row 3651,378,fun,0,0,1,0,1,1,0,1,1
Row 3652,378,passionate,0,1,0,0,1,0,1,1,0
Row 3653,378,powerful,0,0,1,0,1,1,0,0,0
Row 3654,378,relaxed,0,1,0,0,0,1,0,1,0
Row 3655,378,sad,0,1,0,0,0,1,0,0,1
Row 3656,378,sensual,0,1,0,0,0,1,1,1,0
Row 3657,378,sexy,0,1,0,0,0,1,0,1,1
Row 3658,378,smooth,0,0,0,0,1,1,1,0,0
Row 3659,378,sorry,0,1,0,0,0,0,0,0,0
Row 3660,380,pleasant,0,0,0,0,1,1,1,0,0
Row 3661,382,dancing,0,0,0,1,1,1,1,0,0
Row 3662,382,deep,1,1,1,0,0,0,0,0,1
Row 3663,382,peaceful,1,1,0,0,0,0,1,1,0
Row 3664,383,free,0,0,0,1,1,1,1,1,0
Row 3665,383,sad,0,0,0,0,0,0,0,0,0
Row 3666,383,strong,1,0,1,0,1,0,1,0,0
Row 3667,383,tragic,0,1,0,0,0,0,0,0,0
Row 3668,386,sorry,0,0,0,0,0,1,0,0,1
Row 3669,387,adorable,0,0,0,0,0,1,0,1,0
Row 3670,387,excited,0,0,1,0,0,0,1,0,0
Row 3671,387,friendly,0,0,0,0,0,1,0,0,1
Row 3672,387,liberated,0,1,0,0,0,0,0,1,1
Row 3673,387,moody,0,0,1,0,0,0,1,1,0
Row 3674,387,spiritual,0,0,0,0,1,0,1,1,1
Row 3675,389,adorable,,,,,,,,,
Row 3676,389,aggressive,,,,,,,,,
Row 3677,389,amazed,,,,,,,,,
Row 3678,389,angry,,,,,,,,,
Row 3679,389,animated,,,,,,,,,
Row 3680,389,bitchy,,,,,,,,,
Row 3681,389,bored,,,,,,,,,
Row 3682,389,celebratory,0,0,0,0,1,0,0,1,1
Row 3683,389,cool,,,,,,,,,
Row 3684,389,dancing,,,,,,,,,
Row 3685,389,deep,,,,,,,,,
Row 3686,389,delighted,,,,,,,,,
Row 3687,389,dramatic,,,,,,,,,
Row 3688,389,dreamy,,,,,,,,,
Row 3689,389,driving,,,,,,,,,
Row 3690,389,easy,,,,,,,,,
Row 3691,389,elegant,,,,,,,,,
Row 3692,389,emotional,,,,,,,,,
Row 3693,389,encouraged,,,,,,,,,
Row 3694,389,energetic,,,,,,,,,
Row 3695,389,enthusiastic,,,,,,,,,
Row 3696,389,epic,,,,,,,,,
Row 3697,389,euphoric,,,,,,,,,
Row 3698,389,excited,,,,,,,,,
Row 3699,389,fantastic,,,,,,,,,
Row 3700,389,fast,,,,,,,,,
Row 3701,389,festive,,,,,,,,,
Row 3702,389,free,,,,,,,,,
Row 3703,389,friendly,,,,,,,,,
Row 3704,389,fun,,,,,,,,,
Row 3705,389,funny,,,,,,,,,
Row 3706,389,furious,,,,,,,,,
Row 3707,389,gentle,,,,,,,,,
Row 3708,389,glorious,,,,,,,,,
Row 3709,389,good,,,,,,,,,
Row 3710,389,graceful,,,,,,,,,
Row 3711,389,happy,,,,,,,,,
Row 3712,389,heroic,,,,,,,,,
Row 3713,389,hot,,,,,,,,,
Row 3714,389,in_love,,,,,,,,,
Row 3715,389,inspired,,,,,,,,,
Row 3716,389,intense,,,,,,,,,
Row 3717,389,interested,,,,,,,,,
Row 3718,389,joyful,,,,,,,,,
Row 3719,389,jumpy,,,,,,,,,
Row 3720,389,liberated,,,,,,,,,
Row 3721,389,light_hearted,,,,,,,,,
Row 3722,389,liked,,,,,,,,,
Row 3723,389,loud,,,,,,,,,
Row 3724,389,melancholic,,,,,,,,,
Row 3725,389,moody,,,,,,,,,
Row 3726,389,motivational,,,,,,,,,
Row 3727,389,nocturnal,,,,,,,,,
Row 3728,389,passionate,,,,,,,,,
Row 3729,389,peaceful,0,1,0,1,0,0,0,0,0
Row 3730,389,playful,,,,,,,,,
Row 3731,389,pleasant,,,,,,,,,
Row 3732,389,positive,,,,,,,,,
Row 3733,389,powerful,,,,,,,,,
Row 3734,389,pulsating,,,,,,,,,
Row 3735,389,reflective,,,,,,,,,
Row 3736,389,relaxed,,,,,,,,,
Row 3737,389,religious,,,,,,,,,
Row 3738,389,repetitive,,,,,,,,,
Row 3739,389,retro,,,,,,,,,
Row 3740,389,rhythmical,,,,,,,,,
Row 3741,389,romantic,,,,,,,,,
Row 3742,389,sad,,,,,,,,,
Row 3743,389,satisfied,,,,,,,,,
Row 3744,389,sensual,,,,,,,,,
Row 3745,389,sentimental,,,,,,,,,
Row 3746,389,serene,,,,,,,,,
Row 3747,389,severe,,,,,,,,,
Row 3748,389,sexual,,,,,,,,,
Row 3749,389,sexy,,,,,,,,,
Row 3750,389,slow,,,,,,,,,
Row 3751,389,smooth,,,,,,,,,
Row 3752,389,soft,,,,,,,,,
Row 3753,389,sorry,,,,,,,,,
Row 3754,389,spiritual,,,,,,,,,
Row 3755,389,spontaneous,,,,,,,,,
Row 3756,389,stimulated,,,,,,,,,
Row 3757,389,strong,,,,,,,,,
Row 3758,389,stylish,,,,,,,,,
Row 3759,389,successful,,,,,,,,,
Row 3760,389,tragic,,,,,,,,,
Row 3761,389,tranquil,,,,,,,,,
Row 3762,389,uplifting,,,,,,,,,
Row 3763,390,amazed,0,0,1,0,0,0,0,0,0
Row 3764,390,deep,0,1,0,1,0,0,0,0,0
Row 3765,390,delighted,0,1,1,0,0,0,0,0,0
Row 3766,390,driving,0,0,0,0,0,0,1,0,0
Row 3767,390,emotional,0,1,0,1,0,0,0,0,0
Row 3768,390,encouraged,0,1,0,0,0,0,0,1,0
Row 3769,390,funny,0,1,1,0,1,1,1,1,1
Row 3770,390,pulsating,0,0,0,0,1,0,0,0,1
Row 3771,390,repetitive,1,0,0,0,0,0,0,0,0
Row 3772,390,satisfied,0,1,0,0,0,0,0,0,0
Row 3773,391,adorable,0,1,1,0,0,1,0,0,1
Row 3774,391,aggressive,0,0,0,0,0,0,0,0,1
Row 3775,391,angry,0,1,0,0,0,0,0,0,0
Row 3776,391,bitchy,0,1,0,0,0,0,0,0,0
Row 3777,391,bored,0,0,0,0,0,0,0,0,0
Row 3778,391,cool,0,0,0,0,0,0,1,0,0
Row 3779,391,dancing,0,0,0,0,0,0,0,1,1
Row 3780,391,deep,0,1,0,0,0,1,0,0,0
Row 3781,391,dramatic,0,1,0,0,0,1,0,0,1
Row 3782,391,dreamy,0,1,0,0,0,0,1,0,0
Row 3783,391,elegant,0,0,0,1,0,0,0,0,1
Row 3784,391,energetic,0,0,0,0,1,0,1,1,1
Row 3785,391,enthusiastic,1,0,0,0,0,0,1,1,1
Row 3786,391,epic,0,1,0,0,1,0,0,0,1
Row 3787,391,excited,0,0,0,0,1,1,1,0,1
Row 3788,391,fantastic,0,1,0,0,1,0,0,0,1
Row 3789,391,festive,0,0,0,0,0,0,0,1,0
Row 3790,391,free,0,1,0,0,0,0,1,0,0
Row 3791,391,friendly,0,0,0,0,0,1,1,0,1
Row 3792,391,fun,1,1,0,0,1,1,1,0,1
Row 3793,391,funny,0,0,0,0,0,1,0,0,1
Row 3794,391,gentle,0,1,0,0,0,1,0,0,0
Row 3795,391,good,0,1,0,0,1,1,0,0,1
Row 3796,391,happy,0,1,0,0,1,1,1,0,1
Row 3797,391,heroic,0,1,0,0,0,0,0,0,0
Row 3798,391,hot,0,0,0,0,1,0,0,0,1
Row 3799,391,in_love,0,1,0,0,0,0,0,0,0
Row 3800,391,intense,0,1,0,0,0,0,0,0,0
Row 3801,391,interested,0,1,0,0,0,0,0,0,0
Row 3802,391,jumpy,0,0,0,0,0,0,0,1,0
Row 3803,391,liberated,0,0,0,0,0,0,1,0,0
Row 3804,391,liked,0,0,0,0,0,0,0,0,0
Row 3805,391,loud,0,0,0,0,1,0,0,0,1
Row 3806,391,melancholic,0,1,0,0,0,0,0,0,0
Row 3807,391,motivational,1,0,0,0,0,0,1,0,0
Row 3808,391,nocturnal,0,0,0,0,0,0,0,0,1
Row 3809,391,passionate,0,1,0,0,0,0,0,0,1
Row 3810,391,peaceful,0,1,0,0,0,0,0,0,0
Row 3811,391,playful,,,,,,,,,
Row 3812,391,pleasant,1,0,0,0,0,0,1,0,0
Row 3813,391,positive,0,0,0,0,1,1,1,0,1
Row 3814,391,powerful,1,0,0,0,1,0,1,0,0
Row 3815,391,pulsating,0,0,0,0,1,0,0,0,1
Row 3816,391,reflective,0,1,0,0,0,0,1,0,0
Row 3817,391,relaxed,1,0,0,0,0,1,0,0,0
Row 3818,391,religious,0,1,0,0,0,0,0,0,0
Row 3819,391,retro,0,0,0,0,1,0,0,0,1
Row 3820,391,rhythmical,0,0,0,0,0,0,0,0,1
Row 3821,391,sensual,0,1,0,0,0,0,0,0,1
Row 3822,391,severe,0,1,0,0,0,0,0,1,0
Row 3823,391,smooth,0,1,0,0,0,0,0,0,0
Row 3824,391,soft,0,1,0,0,0,0,0,0,0
Row 3825,391,spiritual,0,1,0,0,0,0,0,0,0
Row 3826,391,spontaneous,0,0,0,0,0,0,1,0,0
Row 3827,391,stimulated,0,1,0,0,0,1,0,0,1
Row 3828,391,stylish,0,0,0,0,0,0,0,0,1
Row 3829,391,successful,0,0,0,0,0,0,0,0,0
Row 3830,391,tragic,0,1,0,0,0,0,0,0,0
Row 3831,391,uplifting,1,1,0,0,0,0,1,0,0
Row 3832,392,animated,,,,,,,,,
Row 3833,392,bored,0,0,0,0,0,1,0,0,0
Row 3834,392,dancing,0,0,1,0,1,0,0,0,1
Row 3835,392,dramatic,0,1,0,0,0,1,0,0,0
Row 3836,392,easy,0,0,1,0,0,0,0,0,0
Row 3837,392,epic,0,1,0,0,1,1,1,1,1
Row 3838,392,fantastic,0,0,0,0,0,0,0,1,0
Row 3839,392,fun,0,0,1,0,0,0,0,0,1
Row 3840,392,pleasant,1,1,0,1,0,1,0,0,0
Row 3841,392,powerful,0,0,0,0,0,0,0,1,0
Row 3842,392,relaxed,0,1,1,1,0,0,0,0,1
Row 3843,392,sensual,0,0,0,0,0,0,0,0,0
Row 3844,392,sexual,0,1,0,0,0,0,0,1,1
Row 3845,392,spiritual,0,1,0,1,0,0,0,0,0
Row 3846,392,stimulated,0,0,0,0,0,0,1,1,0
Row 3847,394,repetitive,0,0,1,0,0,1,0,1,0
Row 3848,400,fantastic,1,0,0,0,1,0,1,0,1
Row 3849,400,glorious,1,0,0,0,0,0,1,0,1
Row 3850,400,in_love,1,0,0,0,0,1,1,0,1
Row 3851,400,positive,1,0,0,0,0,0,1,0,1
Row 3852,400,severe,1,0,0,0,0,0,1,0,0
Row 3853,400,stylish,1,0,0,0,0,0,1,0,0
Row 3854,402,dancing,0,0,0,0,1,0,0,1,0
Row 3855,402,energetic,0,0,0,0,0,0,1,1,0
Row 3856,402,happy,0,1,0,0,0,1,1,0,0
Row 3857,402,peaceful,0,1,0,0,0,1,0,0,0
Row 3858,402,playful,0,0,1,0,0,0,1,1,0
Row 3859,402,powerful,0,0,0,0,0,1,1,1,1
Row 3860,402,strong,0,0,1,0,1,0,1,0,0
Row 3861,403,amazed,0,0,0,1,0,0,0,0,0
Row 3862,403,deep,0,0,0,0,0,0,0,1,0
Row 3863,403,friendly,0,0,0,0,0,0,0,1,0
Row 3864,403,glorious,0,0,1,0,0,0,0,0,0
Row 3865,403,graceful,0,0,0,0,0,0,0,1,0
Row 3866,403,happy,0,1,0,0,0,0,0,0,0
Row 3867,403,inspired,0,0,1,0,0,0,0,0,0
Row 3868,403,jumpy,0,0,0,0,0,0,1,0,0
Row 3869,403,nocturnal,0,0,1,0,0,0,0,0,0
Row 3870,403,passionate,0,0,0,0,0,0,0,0,1
Row 3871,403,pulsating,0,0,0,1,0,0,0,0,0
Row 3872,403,reflective,0,0,0,0,0,0,0,0,1
Row 3873,403,satisfied,0,0,0,0,0,0,0,1,0
Row 3874,403,sensual,0,0,0,0,0,0,0,1,0
Row 3875,403,slow,0,0,0,0,0,0,0,1,0
Row 3876,403,soft,0,0,0,0,0,0,0,1,0
Row 3877,403,stimulated,0,0,0,0,0,0,0,1,0
Row 3878,404,funny,0,0,1,0,1,0,0,0,1
Row 3879,404,liked,0,0,0,0,0,0,0,0,0
Row 3880,405,funny,0,1,0,0,0,0,0,0,0
Row 3881,406,amazed,0,1,0,0,0,0,0,0,0
Row 3882,406,bitchy,0,0,1,0,0,0,0,0,0
Row 3883,406,bored,0,0,0,0,0,0,0,0,1
Row 3884,406,cool,0,0,1,0,0,0,0,0,0
Row 3885,406,dancing,0,0,0,0,0,0,0,1,0
Row 3886,406,deep,0,1,0,0,0,0,0,0,0
Row 3887,406,delighted,0,1,0,0,0,0,0,0,0
Row 3888,406,dramatic,0,1,0,0,0,0,0,0,0
Row 3889,406,emotional,0,1,0,0,0,0,0,0,0
Row 3890,406,encouraged,0,0,1,0,0,0,0,0,0
Row 3891,406,enthusiastic,0,0,0,0,0,1,0,0,0
Row 3892,406,free,0,1,0,0,0,0,0,0,0
Row 3893,406,friendly,0,0,0,0,0,0,0,0,1
Row 3894,406,fun,0,0,1,0,0,0,0,0,0
Row 3895,406,gentle,0,1,0,0,0,0,0,0,0
Row 3896,406,glorious,0,1,0,0,0,0,0,0,0
Row 3897,406,graceful,0,1,0,0,0,0,0,0,0
Row 3898,406,happy,0,1,0,0,0,0,0,0,0
Row 3899,406,heroic,0,0,1,0,0,0,0,0,0
Row 3900,406,inspired,0,0,0,1,0,0,0,0,0
Row 3901,406,liked,0,1,0,0,0,0,0,0,0
Row 3902,406,moody,0,1,0,0,0,0,0,0,0
Row 3903,406,motivational,0,0,0,0,1,0,0,0,0
Row 3904,406,peaceful,0,1,0,0,0,0,0,0,0
Row 3905,406,pleasant,0,1,0,0,0,0,0,0,0
Row 3906,406,powerful,0,0,1,0,1,0,0,0,0
Row 3907,406,relaxed,0,0,0,1,0,0,0,0,1
Row 3908,406,repetitive,0,0,0,0,0,0,1,0,0
Row 3909,406,retro,0,0,0,0,1,0,0,0,0
Row 3910,406,romantic,0,1,0,0,0,0,0,0,0
Row 3911,406,serene,0,0,0,1,0,0,0,0,0
Row 3912,406,severe,0,0,0,0,0,0,0,1,0
Row 3913,406,sexual,0,1,0,0,0,0,0,0,0
Row 3914,406,slow,0,1,0,0,0,0,0,0,0
Row 3915,406,soft,0,1,0,0,0,0,0,0,0
Row 3916,406,stylish,0,0,0,1,0,1,0,0,1
Row 3917,406,tranquil,0,1,0,0,0,0,0,0,0
Row 3918,408,bitchy,0,1,0,0,0,0,0,0,0
Row 3919,408,easy,0,1,0,0,0,0,0,0,0
Row 3920,408,energetic,0,0,1,0,0,0,0,0,0
Row 3921,408,epic,0,0,0,0,0,0,0,1,0
Row 3922,408,graceful,0,0,0,0,0,0,0,1,0
Row 3923,408,heroic,0,0,0,0,1,0,0,0,0
Row 3924,408,joyful,0,0,1,0,0,0,0,0,0
Row 3925,408,light_hearted,0,0,0,1,0,0,0,0,0
Row 3926,408,liked,1,0,0,0,0,0,0,0,0
Row 3927,408,peaceful,0,1,0,0,1,0,1,0,0
Row 3928,408,powerful,0,0,0,0,0,0,0,1,0
Row 3929,408,religious,,,,,,,,,
Row 3930,408,repetitive,0,0,1,0,0,0,0,0,0
Row 3931,408,serene,0,0,1,0,0,0,0,0,0
Row 3932,408,spontaneous,0,1,0,0,0,0,0,0,0
Row 3933,408,uplifting,0,0,0,0,0,0,0,0,1
Row 3934,410,celebratory,0,0,0,0,1,0,0,0,0
Row 3935,410,dancing,0,0,0,0,0,0,1,0,0
Row 3936,410,euphoric,0,0,1,0,0,0,0,0,0
Row 3937,410,glorious,0,0,0,0,0,0,0,1,0
Row 3938,410,graceful,0,1,0,0,0,0,0,0,0
Row 3939,410,joyful,0,0,0,0,1,0,0,0,0
Row 3940,410,light_hearted,0,0,0,0,0,0,1,0,0
Row 3941,410,liked,0,0,0,0,0,0,1,0,0
Row 3942,410,motivational,0,0,0,0,0,0,1,0,0
Row 3943,410,playful,0,0,0,0,1,0,0,0,0
Row 3944,410,sentimental,0,1,0,0,0,0,0,0,0
Row 3945,410,serene,1,0,0,0,0,0,0,0,0
Row 3946,410,severe,1,0,0,0,0,0,0,0,0
Row 3947,410,soft,0,0,0,0,0,1,0,0,0
Row 3948,412,romantic,1,1,1,1,1,1,1,1,1
Row 3949,413,spontaneous,0,0,0,0,0,0,0,1,0
Row 3950,414,excited,,,,,,,,,
Row 3951,415,heroic,0,0,0,0,0,0,0,0,0
Row 3952,416,cool,0,1,0,0,0,0,0,0,0
Row 3953,416,deep,0,0,0,0,0,0,0,1,0
Row 3954,416,dramatic,,,,,,,,,
Row 3955,416,dreamy,0,0,0,0,0,1,0,0,0
Row 3956,416,elegant,0,0,0,0,1,0,0,0,0
Row 3957,416,excited,0,0,0,0,0,0,0,0,0
Row 3958,416,fast,0,1,0,0,1,0,0,1,0
Row 3959,416,heroic,0,1,0,0,0,0,0,0,0
Row 3960,416,inspired,0,0,0,0,0,0,0,1,0
Row 3961,416,jumpy,0,0,0,1,0,0,0,0,0
Row 3962,416,liked,0,0,0,0,0,0,0,1,0
Row 3963,416,melancholic,0,1,0,0,0,0,0,0,0
Row 3964,416,moody,0,0,0,0,0,0,0,0,0
Row 3965,416,romantic,0,1,0,0,0,0,0,1,0
Row 3966,416,sentimental,0,0,0,0,0,0,0,1,0
Row 3967,416,sexual,0,1,0,0,0,0,0,0,0
Row 3968,416,slow,0,0,0,0,0,0,0,0,1
Row 3969,416,stimulated,0,0,0,0,0,1,0,0,0
Row 3970,416,tranquil,0,0,0,0,0,0,0,1,0
Row 3971,420,bored,0,1,0,0,0,1,0,0,0
Row 3972,420,cool,0,1,0,0,0,0,0,0,0
Row 3973,420,energetic,0,0,0,0,0,1,0,0,0
Row 3974,420,furious,0,0,0,0,1,0,0,0,0
Row 3975,420,gentle,0,0,0,0,0,0,0,0,1
Row 3976,420,glorious,1,0,0,0,0,0,1,0,0
Row 3977,420,inspired,0,0,0,1,0,0,0,0,0
Row 3978,420,moody,0,0,0,0,0,1,0,0,0
Row 3979,420,peaceful,0,1,0,1,0,0,0,0,1
Row 3980,420,rhythmical,0,0,1,0,0,0,1,0,0
Row 3981,420,sad,0,1,0,0,0,1,0,0,0
Row 3982,420,satisfied,0,1,1,0,0,0,0,0,0
Row 3983,420,sensual,0,1,0,0,0,0,0,0,0
Row 3984,420,sexual,0,1,0,1,0,1,0,0,1
Row 3985,420,sexy,0,1,0,0,0,0,0,0,0
Row 3986,420,smooth,0,1,0,0,0,0,0,0,0
Row 3987,421,aggressive,0,0,0,0,0,0,0,0,1
Row 3988,421,bored,0,1,0,0,0,0,0,0,0
Row 3989,421,cool,0,0,0,0,0,0,0,0,1
Row 3990,421,dramatic,0,0,1,0,0,0,0,0,0
Row 3991,421,dreamy,0,1,0,0,0,0,0,0,0
Row 3992,421,energetic,0,0,1,0,0,0,0,1,0
Row 3993,421,enthusiastic,0,0,1,0,0,0,0,0,0
Row 3994,421,epic,0,0,0,0,1,0,0,1,0
Row 3995,421,euphoric,0,0,0,0,0,0,0,1,0
Row 3996,421,excited,1,0,0,0,0,0,0,0,0
Row 3997,421,fantastic,1,0,0,0,0,0,0,0,0
Row 3998,421,free,0,0,1,0,0,0,0,0,0
Row 3999,421,funny,0,0,0,0,0,0,0,1,0
Row 4000,421,furious,0,1,1,0,0,0,0,0,0
Row 4001,421,gentle,0,1,0,0,0,0,0,0,0
Row 4002,421,liked,0,0,1,0,0,0,0,0,0
Row 4003,421,moody,0,0,0,0,0,0,0,1,0
Row 4004,421,positive,0,0,1,0,0,0,0,0,0
Row 4005,421,powerful,0,0,1,0,0,0,0,0,0
Row 4006,421,sentimental,0,0,0,0,1,0,0,0,0
Row 4007,421,severe,0,1,1,0,0,0,0,0,0
Row 4008,421,soft,0,0,0,0,0,0,0,1,0
Row 4009,421,successful,0,1,0,1,0,0,0,0,0
Row 4010,423,angry,,,,,,,,,
Row 4011,423,spontaneous,,,,,,,,,
Row 4012,423,uplifting,,,,,,,,,
Row 4013,424,bored,1,0,0,0,0,0,0,0,0
Row 4014,424,celebratory,0,0,1,0,1,0,0,0,1
Row 4015,424,enthusiastic,0,0,0,0,0,0,0,1,0
Row 4016,424,epic,0,0,0,0,1,1,0,1,0
Row 4017,424,excited,1,0,0,0,0,0,1,0,1
Row 4018,424,free,,,,,,,,,
Row 4019,424,good,0,1,0,0,0,0,0,0,0
Row 4020,424,happy,1,1,0,0,0,0,0,0,1
Row 4021,424,heroic,0,0,0,0,1,1,1,1,0
Row 4022,424,in_love,0,1,1,0,0,1,0,0,1
Row 4023,424,jumpy,0,0,1,0,0,0,0,1,0
Row 4024,424,nocturnal,0,0,1,0,1,1,1,0,1
Row 4025,424,positive,0,1,0,1,0,0,0,0,0
Row 4026,424,religious,0,1,0,0,0,0,0,0,0
Row 4027,424,repetitive,0,0,0,0,0,0,0,0,0
Row 4028,424,sad,0,0,0,0,0,0,0,0,1
Row 4029,424,sensual,0,0,0,0,0,0,0,1,1
Row 4030,424,sentimental,0,1,0,0,0,0,0,0,0
Row 4031,424,serene,0,1,0,0,0,0,0,0,0
Row 4032,424,severe,0,1,0,0,0,0,0,0,0
Row 4033,424,spontaneous,0,0,0,0,1,1,1,0,0
Row 4034,424,stimulated,0,1,0,0,0,0,0,1,0
Row 4035,424,tranquil,0,1,0,0,0,0,0,0,0
Row 4036,424,uplifting,0,1,0,0,0,0,0,0,0
Row 4037,425,fantastic,0,0,0,0,0,0,1,0,0
Row 4038,427,dancing,0,0,1,0,1,0,0,0,0
Row 4039,427,excited,0,0,0,0,0,1,0,0,0
Row 4040,427,pulsating,0,0,0,0,0,0,0,1,0
Row 4041,430,animated,0,0,0,0,1,0,0,0,1
Row 4042,430,free,0,1,1,0,0,0,0,0,1
Row 4043,430,good,0,1,0,0,0,0,0,0,0
Row 4044,430,happy,1,0,0,0,1,0,0,1,1
Row 4045,430,heroic,0,0,1,0,1,0,1,1,0
Row 4046,430,jumpy,0,0,1,0,0,0,0,0,0
Row 4047,430,moody,1,0,0,0,0,0,0,0,0
Row 4048,430,nocturnal,0,0,0,1,0,1,0,0,0
Row 4049,430,peaceful,0,0,0,1,0,0,0,1,1
Row 4050,430,playful,0,1,0,0,0,0,0,1,0
Row 4051,430,pulsating,0,0,0,0,0,0,0,1,1
Row 4052,430,rhythmical,0,0,0,0,0,0,0,0,1
Row 4053,430,severe,0,0,0,0,0,1,0,0,0
Row 4054,430,sexy,0,0,0,1,0,0,0,1,1
