"trackid","artistname","tracknumber","duration","artistid","tracktitle","releasetitle","releaseid"
37375842,"%u0412%u043B%u0430%u0434%u0438%u043C%u0438%u0440 %u041A%u0443%u0437%u044C%u043C%u0438%u043D",1904,351,1860018,"%u0415%u0434%u0438%u043D%u0441%u0442%u0432%u0435%u043D%u043D%u0430%u044F","%u0410%u043D%u0442%u043E%u043B%u043E%u0433%u0438%u044F 19. %u041A%u043E%u043B%u043B%u0435%u043A%u0446%u0438%u044F",3555928
37375853,"%u0412%u043B%u0430%u0434%u0438%u043C%u0438%u0440 %u041A%u0443%u0437%u044C%u043C%u0438%u043D",1907,392,1860018,"%u041F%u043E%u0442%u043E%u043C%u0443 %u0447%u0442%u043E %u044F %u2013 %u0440%u043E%u043A%u0435%u0440","%u0410%u043D%u0442%u043E%u043B%u043E%u0433%u0438%u044F 19. %u041A%u043E%u043B%u043B%u0435%u043A%u0446%u0438%u044F",3555928
37381652,"Jennine Fuentes",2,244,2298149,"Liberated","Liberated",3556608
37402856,"The Shadows",1,176,11571,"Apache","The Very Best Of",3559012
37410264,"Micheal Lee Collins",6,223,2299754,"29 Angels (feat. Micheal Lee Collins (Vocal))","The Gift &amp; Other LifeSongs",3559689
37418706,"THE INK SPOTS",7,174,5062,"I Don't Want to Set the World on Fire","The Best of The Ink Spots (Digitally Remastered)",3560634
37442432,"alt-J",1,278,1221028,"Intro","This Is All Yours",3563048
37442460,"alt-J",4,216,1221028,"Every Other Freckle","This Is All Yours",3563048
37442463,"alt-J",5,173,1221028,"Left Hand Free","This Is All Yours",3563048
37442477,"alt-J",10,315,1221028,"The Gospel of John Hurt","This Is All Yours",3563048
37451923,"ZZ Top",1,212,3230,"Gimme All Your Lovin'","The Very Baddest Of ZZ Top",3563914
37453465,"Steve Miller Band and Friends",9,165,2301714,"Seasons","Radio Live: Steve Miller Band and Friends",3564078
37465368,"Lana Del Rey",3,342,1107056,"Shades Of Cool","Ultraviolence",3565330
37465384,"Lana Del Rey",6,318,1107056,"Sad Girl","Ultraviolence",3565330
37465388,"Lana Del Rey",8,271,1107056,"Money Power Glory","Ultraviolence",3565330
37465390,"Lana Del Rey",9,212,1107056,"Fucked My Way Up To The Top","Ultraviolence",3565330
37474339,"Lana Del Rey",6,318,1107056,"Sad Girl","Ultraviolence",3566558
37474347,"Lana Del Rey",13,271,1107056,"Guns And Roses","Ultraviolence",3566558
37511760,"Jennifer Lopez",10,203,21255,"Booty","A.K.A.",3570268
37513954,"Anupam Paul, Salil Chowdhury",7,203,2304794,"Zindagi Kaisi Hai Paheli Film Anand","Paheli Paheli Bar Hai - Anupam Paul",3570455
37538183,"Alexandra Stan",1,191,878065,"Cherry Pop","Cherry Pop",3572717
37551487,"The Karaoke Channel",2,245,481860,"Sin Ti","The Karaoke Channel - Sing Sin Ti Like Chino Y Nacho",3574100
37566925,"Lata Mangeshkar, S. P. Balu, Narendra Chanchal, Mahender Kapoor",8,1437,2307343,"Bolte Chalo","Durga Hai Meri Maa, Vol. 1",3575958
37606750,"Ed Sheeran",2,245,603309,"I'm A Mess","x",3580963
37606769,"Ed Sheeran",7,300,603309,"Bloodstream","x",3580963
37606781,"Ed Sheeran",11,282,603309,"Thinking Out Loud","x",3580963
37606791,"Ed Sheeran",16,299,603309,"I See Fire","x",3580963
37635789,"Smoothly Band",4,254,2311216,"John Wayne","Smoothly Band",3583901
37650399,"Ed Sheeran",5,226,603309,"Nina","x",3585165
37650417,"Extreme Music Fitness",1,209,2092752,"Motivational Music","Fitness Motivational Music for Running",3585167
37650446,"Extreme Music Fitness",30,206,2092752,"Motivational Songs (Dubstep Music)","Fitness Motivational Music for Running",3585167
37656185,"5 Seconds Of Summer",4,205,1441691,"Kiss Me Kiss Me","5 Seconds Of Summer",3585882
37707220,"Meghan Trainor",1,189,2314730,"All About That Bass","All About That Bass",3591817
37708520,"Kongos",1,212,1892218,"Come With Me Now","Come With Me Now",3591954
37713676,"High Frequency Karaoke",1,200,1164152,"La La La (Brazil 2014) [Instrumental Version]","La La La (Brazil 2014) [Karaoke Version] [In the Style of Shakira &amp; Carlinhos Brown]",3592422
37722228,"Brian &quot;B2&quot; Miles",1,205,2315717,"Not Interested","Not Interested",3593516
37762398,"Neil Diamond",18,180,35,"Girl, You'll Be A Woman Soon","All-Time Greatest Hits",3598184
37762574,"5 Seconds Of Summer",5,189,1441691,"18","5 Seconds Of Summer",3598218
37779223,"David Guetta",1,204,15219,"Lovers on the Sun (feat. Sam Martin)","Lovers on the Sun (feat. Sam Martin)",3600576
37779930,"L'Orchestra Numerique",2,43,1186263,"Breaking Bad Main Title Theme (From &quot;Breaking Bad&quot;)","True Crime - 17 Classic Crime Themes",3600699
37791071,"Chitra Roy",6,299,236309,"Saans Saans Mein (Original)","Samarpan Chitra Roy",3602309
37804722,"John Keys",5,167,372325,"Give Thanks With a Grateful Heart (Give Thanks)","Ultimate Hymn Organ Accompaniments, Vol. 36",3603817
37810739,"Belinda Carlisle",6,253,548,"La Luna","Greatest Vol.1 - Belinda Carlisle",3604558
37829345,"Boney M.",2,209,3028,"Daddy Cool","Platinum Hits",3606229
37855986,"Neil Diamond",5,172,35,"Amazed And Confused","The Jazz Singer",3608784
37855997,"Neil Diamond",13,98,35,"Kol Nidre","The Jazz Singer",3608784
37876066,"Sia",1,216,6,"Chandelier","1000 Forms Of Fear",3591482
37876077,"Sia",8,258,6,"Elastic Heart","1000 Forms Of Fear",3591482
37876079,"Sia",9,266,6,"Free the Animal","1000 Forms Of Fear",3591482
37876081,"Sia",10,242,6,"Fire Meet Gasoline","1000 Forms Of Fear",3591482
37896633,"Michael Jackson",3,474,88,"Love Never Felt so Good (DM EPIC DUB MIX)","Love Never Felt So Good (David Morales and Eric Kupper Def Mix)",3612999
37896800,"Brad Paisley",2,179,1152,"River Bank","Moonshine in the Trunk",3613034
37915732,"Lenny Kravitz",1,297,119,"The Chamber","The Chamber",3615698
37920691,"Bombay Lounge",12,276,2273217,"Bollywood Music (Indian Music)","Hindi Music - Sensuality Indian Sunset Chill Lounge Music Flow Yoga Mudra",3616483
37921936,"Evanescence",4,224,7033,"Lithium","The Open Door",3615438
37923274,"DVBBS &amp; Borgeous",5,236,1985246,"Tsunami","Cream Ibiza 2014",3616668
37931560,"Kishore Kumar",4,207,17717,"Zindagi Aa Raha Hoon Main (Live)","Lata - Kishore",3617233
37942027,"Ana Bekuta",2,182,490844,"Zlatiborske zore","Opet imam razloga da zivim",3618084
37951446,"You Without Me",2,273,2329924,"One Less Problem (Extended Mix)","One Less Problem",3618984
37966518,"SoundSense",12,178,1518064,"Macarena","Summer BBQ Playlist",3620607
37966534,"SoundSense",22,224,1518064,"Hot Hot Hot","Summer BBQ Playlist",3620607
37966587,"SoundSense",69,289,1518064,"Don't Worry Be Happy","Summer BBQ Playlist",3620607
37966980,"Numinous Owl",1,341,2299900,"Fayetteville Nc / Momma You'll Be Proud of Me","Fayetteville Nc / Momma You'll Be Proud of Me",3620638
37967433,"Artur Kreem",17,106,2330850,"Outro","Crème de la crème",3620689
37972221,"George Perle",10,113,2712906,"Six Celebratory Inventions: V. For Richard Swift at Sixty","George Perle: Eight Pieces (1938-1997)",3621182
37994303,"Ex Friends",2,102,1438246,"Rainy Season","Twisted Around",3623552
37997459,"B.B. King",1,649,136,"BB's Theme","Blues Masters: B.B. King",3623825
37998273,"Lilly Wood &amp; The Prick",1,189,306697,"Prayer In C (Robin Schulz Radio Edit)","Prayer In C",3623899
38021038,"Biffy Clyro",9,211,19178,"A Tragic World Record","Similarities",3626760
38027605,"SonicAid",8,356,2119403,"Lingering Lullabies","Sonicaid: Sleep Therapy",3627529
38030043,"Goran &amp; OK Band",1,242,907435,"Bez milosti","Goran &amp; OK band",3627827
38033381,"Zeljko Joksimovic",1,201,468647,"Rintam","Zeljko Joksimovic",3628263
38038213,"Noelia",1,212,47467,"Spell (feat. Timbaland)","Spell",3628791
38042300,"D-Twin",6,574,1293847,"Braking Bad","Goa Deluxe, Vol. 5",3629273
38064222,"Jim Croce",3,171,51750,"You Don't Mess Around with Jim (Harper College 2/5/73)","Lost Time in a Bottle",3631611
38072501,"Pitbull",1,263,11439,"Como Yo Le Doy (Spanglish Version)","Como Yo Le Doy",3632464
38073387,"Hevisaurus",1,166,361372,"Yeah Hevisaurus!","Hevisaurus",3632599
38080951,"Basawraj Shete",4,174,1227490,"Bekarar Karke Hame","Melodious Tunes On Mouth Organ, Vol. 2",3633623
38100709,"The Karaoke Channel",2,241,481860,"Jigsaw Falling into Place","The Karaoke Channel - Sing Jigsaw Falling into Place Like Radiohead",3635750
38130692,"unknown",12,245,1228,"Pussy (Originally Performed by Iggy Azalea)","Top 40 Hits Hip Hop, Vol. 7",3638973
38137369,"S P Balasubrahmanyam, Swarnalatha",3,404,2340402,"Prema Ane (Original)","Premikula Roju",3639624
38151209,"Herbert Von Karajan",503,610,9783,"Symphony No. 9 in D Minor, Op.125 'Choral': II. Molto vivace - Presto - Molto vivace - Presto","Beethoven: Symphonies Nos 1-9 &amp; Overtures",3641543
38162781,"Zeljko Sasic with Ceca Raznatovic",6,236,2342339,"Ko na grani jabuka","Gori more",3643191
38162827,"Zeljko Samardzic",3,213,490913,"Dobar dan tugo","Secanje na ljubav",3643197
38171780,"Masters of Rock",1,216,1905992,"Highway to Hell","AC/DC - The Best Of - 15 Massive ACDC Rock Tributes (AC / DC)",3643749
38171782,"Masters of Rock",2,267,1905992,"Back in Black","AC/DC - The Best Of - 15 Massive ACDC Rock Tributes (AC / DC)",3643749
38171798,"Masters of Rock",13,271,1905992,"Big Gun","AC/DC - The Best Of - 15 Massive ACDC Rock Tributes (AC / DC)",3643749
38179961,"Relaxing Music",4,342,540619,"Coolness - The Sounds of Calm","Relaxing Music",3644369
38189276,"The Beatles",1,150,55751,"A Hard Day's Night","A Hard Day's Night (Original Motion Picture Soundtrack)",3645110
38197696,"The Beatles",13,153,55751,"Twist and Shout","Twist and Shout",3646558
38198357,"The Notorious B.I.G.",2,306,97,"One More Chance (Hip Hop Mix)","One More Chance",3646668
38207412,"Shreya Ghoshal, M. M. Kreem, K. K., Sayeed Quadri, Anupam Kher, Muzamil Ibrahim, Tulip Joshi",5,395,2344821,"Kab Tujhe","Dhokha",3647664
38208839,"Fabulara",1,190,2319494,"Pinguin Tanz (Jenka Dance)","Pinguin Tanz (Jenka Dance)",3647883
38214733,"Iro",4,212,62806,"Poly Konta, Poly Makria","Kateftheian Kardia",3648531
38241036,"Dj Flak",3,363,2346429,"The Himn","Family Attack",3650781
38250902,"Singer's Edge Karaoke",1,284,1997255,"I Surrender (Originally Performed by Celine Dion) [Vocal Version]","I Surrender (Originally Performed by Celine Dion) [Karaoke Version]",3651569
38260175,"Ceca Raznatovic",1,219,494423,"Ja jos spavam u tvojoj majici","Ceca &amp; Futa Band",3652393
38260214,"Ceca Raznatovic",2,199,494423,"Devojko vestice","Ceca &amp; Futa Band",3652393
38260245,"Ceca Raznatovic",3,186,494423,"Vazduh koji disem","Ceca &amp; Futa Band",3652393
38260263,"Ceca Raznatovic",4,222,494423,"Volela sam te","Ceca &amp; Futa Band",3652393
38260326,"Ceca Raznatovic",6,194,494423,"Masina","Ceca &amp; Futa Band",3652393
38260349,"Ceca Raznatovic",7,201,494423,"Ko nekad u osam","Ceca &amp; Futa Band",3652393
38260373,"Ceca Raznatovic",8,236,494423,"Kuda idu ostavljene devojke","Ceca &amp; Futa Band",3652393
38264048,"Chet Faker",1,267,1240174,"Gold","Gold",3652877
38274076,"Anselmo Ralph",4,268,376276,"Atrevimento (feat. Anselmo Ralph)","I Love Kizomba",3654072
38296315,"Pendulum",8,331,45491,"Tarantula (Ft. Fresh, $Pyda &amp; Tenor Fly)","Hold Your Colour",3656814
38297952,"Michael Jackson",10,236,88,"Love Never Felt So Good","Now That's What I Call Music! 88",3651536
38298072,"Tiësto",213,188,8669,"Wasted","Now That's What I Call Music! 88",3651536
38320315,"Love Collection Band",7,345,857704,"Ella y el","I love Arjona",3658901
38320695,"Love Collection Band",2,183,857704,"I kiss a girl","I love Katy Perry",3658934
38322761,"Various Artists",2,283,209,"Dol Dol (From &quot;Pokkiri&quot;)","Vijay and Simbu Hits",3659208
38323801,"Jawad Ahmad",4,338,503344,"Bhar De Jholi","Bol Tujhe Kya Chahiye",3659301
38340272,"Nicholas Pesci",5,95,916881,"Nathalie","All the Feelings",3661154
38366552,"The Skylab Group",4,386,72014,"Magnetic Fields","The Music Of Jean Michelle Jarre",379161
38368450,"Enrique Iglesias / Sammy Adams",14,221,1394928,"Finally Found You","SEX AND LOVE",3664749
38399182,"Oscar Peterson",1,294,805,"Night Train (Aka Happy-Go-Lucky Local)","The Oscar Peterson Trio: Night Train (Bonus Track Version)",3667855
38400156,"Dizzy Gillespie",1,391,2117,"Blues After Dark (feat. Benny Golson)","The Greatest Trumpet of Them All (feat. Benny Golson) [Bonus Track Version]",3667923
38415537,"Ennio Morricone",6,191,3310,"Once Upon a Time in the West (From &quot;Once Upon a Time in the West&quot;)","The Western Trilogy Vol. 1",3669183
38429994,"Jessie J / Ariana Grande / Nicki Minaj",1,199,2351448,"Bang Bang","Bang Bang",3670754
38439351,"Brian Hyland",1,114,14042,"Angel in My Heart","Angel in My Heart",3671874
38460011,"Sonu Nigam",20,311,79014,"Zabardast (From &quot;Prem Kaa Game&quot;)","The Best of Indian Music: The Best of Sonu Nigam",3674185
38492991,"Miguel Gutierrez And The Powerful People",17,62,2360317,"Bluetooth Skit (feat. Miguel Gutierrez and the Powerful People)","For Real, You Guys",3678939
38518793,"Bijelo Dugme",5,137,508760,"Selma","Mramor, kamen i zeljezo",3682760
38518810,"Bijelo Dugme",202,193,508760,"Ne spavaj, mala moja, muzika dok svira","Mramor, kamen i zeljezo",3682760
38518820,"Bijelo Dugme",207,289,508760,"Lazes","Mramor, kamen i zeljezo",3682760
38518823,"Bijelo Dugme",208,386,508760,"Sanjao sam nocas da te nemam","Mramor, kamen i zeljezo",3682760
38522333,"Stingray Music (Karaoke)",2,231,500224,"Loser (Demonstration Version - Includes Lead Singer)","Karaoke - In the style of Beck - Vol. 1",3683297
38545160,"Fernando Ortega",3,201,4888,"Children Of The Living God","Fernando Ortega: The Ultimate Collection",3686452
38546677,"Leila Rasonyi",5,594,1213261,"A faun halala (The Death of the Faun)","Lang: Concerto Ebraico / A Faun Halala / Fleur De Delice",3686664
38551915,"L. Edvin Csury",12,100,2365372,"II. Un poco piu lento","Sarasate: Spanish Dances / Caprice Basque / Zigeunerweisen / Carmen Fantasy",3687146
38563814,"GT DA BOSS",3,283,2366244,"Where da Hood At","Undisputed",3688296
38601491,"His Nation",13,235,2368571,"Happy (Originally Performed by Pharrell Williams) [Classical Version]","Open Arms - Modern Christian Songs",3692518
38612989,"Pitbull",1,235,11439,"Fireball","Fireball",3693635
38622323,"U%u011Fur I%u015F%u0131lak",1,289,1862343,"Ben A%u011Flarsam K%u0131yamet Kopar","Ben A%u011Flarsam K%u0131yamet Kopar",3694660
38625787,"Patrick Betty",8,161,2290319,"You Are Hot (Dub Mix)","Too Much Information",3695037
38636052,"Chayanne",1,208,15407,"Madre Tierra (Oye)","En Todo Estaré (Deluxe Edition)",3696226
38644360,"Azealia Banks",1,150,1297524,"Heavy Metal and Reflective","Heavy Metal and Reflective",3697131
38644361,"Azealia Banks",2,150,1297524,"Heavy Metal and Reflective","Heavy Metal and Reflective",3697131
38644799,"Nicki Minaj",1,261,660559,"Anaconda","Anaconda",3697182
38651337,"Chill Lounge Music Bar",25,306,2288748,"Summer Chill Out Music","Chill Lounge Music - Top Chillout Songs, Best 2014 Summer Selection",3697613
38658133,"unknown",1,160,1228,"Niggas in Paris","Niggas in Paris - Single",3698850
38687157,"Daft Punk",1,391,466,"Robot Rock (Soulwax Remix)","Human After All",3702604
38699759,"Religious In Christ",6,239,2267360,"Sing Haleluya","Owesifazane",3703194
38745485,"Witney Houston",27,129,2375185,"HeartBreak Hotel","R&amp;B Old School, Vol. 2",3707907
38750618,"A.R. Rahman",9,400,11113,"Chale Chalo (From &quot;Lagaan&quot;)","A. R. Rahman - Voice of a Nation",3708349
38751599,"Céline Dion",1,287,90221,"The Power of Love (Radio Edit)","The Very Best of Celine Dion",3708437
38751600,"Céline Dion",2,235,90221,"If You Asked Me To","The Very Best of Celine Dion",3708437
38751601,"Céline Dion",3,273,90221,"Because You Loved Me (Theme from &quot;Up Close and Personal&quot;)","The Very Best of Celine Dion",3708437
38751602,"Céline Dion",4,329,90221,"It's All Coming Back to Me Now","The Very Best of Celine Dion",3708437
38751605,"Céline Dion",6,279,90221,"To Love You More (Radio Edit)","The Very Best of Celine Dion",3708437
38751606,"Céline Dion",7,280,90221,"My Heart Will Go On (Love Theme from &quot;Titanic&quot;)","The Very Best of Celine Dion",3708437
38751608,"Céline Dion",9,241,90221,"That's the Way It Is","The Very Best of Celine Dion",3708437
38752602,"Power Music Workout",7,244,642227,"Lady Marmalade (Moulin Rouge)","35 Top Movie Hits - Workout Mixes (Unmixed Workout Music Ideal for Gym, Jogging, Running, Cycling, Cardio and Fitness)",3708554
38752609,"Power Music Workout",13,178,642227,"We Own It (Fast &amp; Furious 6)","35 Top Movie Hits - Workout Mixes (Unmixed Workout Music Ideal for Gym, Jogging, Running, Cycling, Cardio and Fitness)",3708554
38788614,"Jack &amp; Jack",1,175,2324387,"Wild Life","Wild Life",3713355
38792015,"Dalida",4,188,35323,"Madona","Madona",3713864
38798285,"Alkilados",1,190,1482254,"Una Cita","Una Cita",3714815
38807459,"Wiz Khalifa",4,249,91677,"KK (feat. Project Pat &amp; Juicy J)","Blacc Hollywood",3715717
38830177,"Queens Of The Stone Age",6,165,5845,"Feel Good Hit Of The Summer","Teenage Dirtbags 2",3718609
38830334,"Hoobastank",217,163,807,"Out Of Control","Teenage Dirtbags 2",3718609
38860677,"Wankelmut / Emma Louise",1,517,1535342,"My Head Is A Jungle","My Head Is A Jungle",3722137
38879291,"Shael",1,274,2030898,"Teri Yaad Mein","Teri Yaad Mein",3724369
38910761,"AronChupa",1,166,2103393,"I'm an Albatraoz","I'm an Albatraoz",3727685
38942067,"The Notorious B.I.G.",1,252,97,"Mo Money Mo Problems (feat. Puff Daddy &amp; Mase) [Radio Mix]","Mo Money Mo Problems",3731247
38953429,"Frederic Chopin",9,348,94678,"Polonaise in A-Flat Major, Op. 53, &quot;Heroic&quot;","Discover Chopin",3732288
38968635,"Arthur Ferreyra",3,356,2060477,"Playful Clown","Playful Clown",3734077
38970424,"Royal Blood",1,241,1410166,"Out Of The Black","Royal Blood",3734294
38994388,"JOE TEX",49,266,36520,"Under Your Powerful Love","Northern Soul (The Soundtrack) [Extended Version]",3738202
39017463,"Various Artists",13,225,209,"Can You Feel the Force","Back to School Workout: Motivational Songs for Hitting the Books and Hitting the Gym",3739580
39018875,"Antonio Vivaldi",1,192,40670,"The Four Seasons, Op. 8, RV 269, &quot;Spring&quot;: I. Allegro","The Four Seasons Performed by London Philharmonic Orchestra",3739689
39023981,"Various Artists",6,298,209,"Salaam E Ishq Tu (From &quot;Mere Dost Picture Abhi Baki Hai&quot;)","Melody Voice of Bollywood - Sunidhi Chauhan Special",3740048
39032636,"Mozart",1,392,114941,"Symphony No. 40 in G Minor, K. 550: I. Molto allegro","100 Mozart Playlist",3740720
39058982,"Veeramani Raju",1,312,559101,"Enge Enge En Deivam","Ponal Sabarimalai",3744457
39067981,"Sharib, Toshi",1,207,2392676,"Hai Soniye","Hai Soniye - Single",3745214
39069089,"Maroon 5",1,229,222,"Animals","Animals",3745331
39098022,"Alexey Ecko",1,377,980163,"Energetic Star","Energetic Star",3750519
39109566,"Calvin Harris",1,211,49225,"Blame","Blame",3751479
39120496,"Ariana Grande",3,197,1173256,"One Last Time","My Everything",3752952
39120507,"Ariana Grande",12,169,1173256,"My Everything","My Everything",3752952
39122127,"Benjamin Clementine",2,264,1887837,"Adios","Glorious You",3753171
39148254,"Kishore Kumar",25,346,17717,"Zindagi Aa Raha Hoon Main (From &quot;Mashaal&quot;)","A Tribute To The King Of Romance: Yash Chopra",3756097
39149825,"Vijay Benedict",3,467,382500,"I Am a Disco Dancer (From &quot;Disco Dancer&quot;)","Disco Dancer Mithun Chakraborty",3756206
39150261,"K. J. Yesudas",9,240,55622,"Dil Ke Tukde Tukde Karke (From &quot;Dada&quot;)","Kabhi Kabhi Mere Dil Mein",3756217
39153419,"Osmani Garcia",2,327,576742,"El Taxi (Original Extended Mix) [feat. Pitbull, Sensato]","El Taxi",3756528
39154193,"Maroon 5",2,231,222,"Animals","V",3756615
39154197,"Maroon 5",5,235,222,"Sugar","V",3756615
39154234,"Maroon 5",2,231,222,"Animals","V",3756625
39154247,"Maroon 5",13,266,222,"Sex And Candy","V",3756625
39154248,"Adam Levine",14,267,2110964,"Lost Stars","V",3756625
39159129,"Sonu Nigam, Sunidhi Chauhan",10,394,53543,"Hum to Mohabbat Karega (From &quot;Hum to Mohabbat Karega&quot;)","Selfie with Sonu Nigam",3757061
39209331,"Jackson Michelson",2,182,2403823,"All I'm Lookin' for","Jackson Michelson EP",3761541
39220213,"Kishore Kumar",10,545,17717,"Om Shanti Om Meri Umar Ke Naujawano (From &quot;Karz&quot;)","Legends: Kishore Kumar - The Versatile Genius, Vol. 5",3761909
39231261,"Philomusica Of London, Thurston Dart",18,101,1342633,"Serenada a 5 &quot;Der Nachtwächter&quot;: Serenada","German String Music of the 17th Century",3763526
39232760,"Mohd. Rafi",9,303,51591,"Akela Hoon Main (From &quot;Jaal&quot;)","Legends: Mohd. Rafi - The Incomparable, Vol. 4",3763590
39235472,"The Script",3,245,179216,"Man on a Wire","No Sound Without Silence",3763829
39235479,"The Script",5,255,179216,"The Energy Never Dies","No Sound Without Silence",3763829
39244152,"Kibariye",8,356,55284,"%u0130syan%u0131m Var","Bir Duygudur Kibariye",3764674
39250372,"Ceza",5,207,39874,"%u0130llegal-Rap Emrimde 2 (feat. Ceza &amp; Ayben)","Her Ay%u0131n Eleman%u0131",3765669
39251622,"%u0130skender Payda%u015F",1,262,1912336,"Hop De - Zamans%u0131z %u015Eark%u0131lar, Vol. 2 (feat. Tarkan)","Hop De - Zamans%u0131z %u015Eark%u0131lar, Vol. 2",3765813
39257190,"Mc Kbção",10,166,2405964,"Pit Bul Boladão","Funk Do Brasil",3766424
39290277,"Iswan",5,183,2407579,"Rek Ayo Rek","Indonesia Indah, Pt. 1",3770167
39302972,"Fall Out Boy",1,232,8860,"Centuries","Centuries",3771710
39320421,"Moltt",1,182,2409799,"Energetic","Energetic",3773960
39323557,"Chris Brown",5,228,15239,"Songs On 12 Play","X (Deluxe Version)",3774391
39334110,"MAGIC!",1,328,2040858,"Rude (Zedd Extended Remix)","Rude",3776066
39334336,"The Piano Guys",7,253,1300667,"Batman Evolution","Wonders",3776097
39362719,"Nicky Jam",1,195,23270,"Travesuras","Nicky Jam Hits",3779726
39408089,"Switchfoot",2,258,32553,"Against The Voices","The Edge of the Earth: Unreleased songs from the film &quot;Fading West&quot;",3785152
39408695,"for King &amp; Country",1,241,1078793,"Run Wild. (feat. Andy Mineo)","RUN WILD. LIVE FREE. LOVE STRONG.",3785227
39408699,"for King &amp; Country",5,305,1078793,"Shoulders","RUN WILD. LIVE FREE. LOVE STRONG.",3785227
39420070,"Pharrell Williams",1,199,1389406,"Happy (Live)","Happy",3786982
39420315,"Suresh Wadkar",3,209,66462,"Jai Ganesh Jai Ganesh Aarti","Shree Ganesh Chalisa",3787006
39422269,"Train",11,223,52118,"Baby, Happy Birthday","Bulletproof Picasso",3787243
39422270,"Train",12,202,52118,"Don't Grow Up So Fast","Bulletproof Picasso",3787243
39423642,"%u0410%u043B%u0435%u043A%u0441%u0430%u043D%u0434%u0440 %u0411%u0430%u0440%u044B%u043A%u0438%u043D, %u0413%u0440%u0443%u043F%u043F%u0430 %u041A%u0430%u0440%u043D%u0430%u0432%u0430%u043B",15,258,2414779,"%u0410%u044D%u0440%u043E%u043F%u043E%u0440%u0442","%u041B%u0435%u0433%u0435%u043D%u0434%u044B %u0440%u0443%u0441%u0441%u043A%u043E%u0433%u043E %u0440%u043E%u043A%u0430: %u0410%u043B%u0435%u043A%u0441%u0430%u043D%u0434%u0440 %u0411%u0430%u0440%u044B%u0",3787332
39427030,"The Veronicas",1,230,22842,"You Ruin Me","You Ruin Me",3787720
39450262,"Mozart",1,343,114941,"Serenade No. 13 in G Major, K. 525, &quot;Eine kleine Nachtmusik&quot;: II. Romanze","90 Driving Classics with Mozart, Chopin &amp; Bach",3790045
39450264,"Mozart",3,836,114941,"Symphony No. 41 in C Major, K. 551, &quot;Jupiter&quot;: II. Andante cantabile","90 Driving Classics with Mozart, Chopin &amp; Bach",3790045
39450266,"Mozart",5,299,114941,"Fantasia No. 3 in D Minor, K. 397","90 Driving Classics with Mozart, Chopin &amp; Bach",3790045
39450270,"Mozart",9,347,114941,"Nocturne in B-Flat Minor, Op. 9, No. 1","90 Driving Classics with Mozart, Chopin &amp; Bach",3790045
39450271,"Mozart",10,321,114941,"Nocturne in E-Flat Major, Op. 9, No. 2","90 Driving Classics with Mozart, Chopin &amp; Bach",3790045
39450272,"Mozart",11,94,114941,"Waltz in D-Flat Major, Op. 64, No. 1, &quot;Minute Waltz&quot;","90 Driving Classics with Mozart, Chopin &amp; Bach",3790045
39450275,"Mozart",14,421,114941,"Polonaise in A-Flat Major, Op. 53, &quot;Heroic&quot;","90 Driving Classics with Mozart, Chopin &amp; Bach",3790045
39450315,"Mozart",54,314,114941,"Le quattro stagioni, Concerto No. 3 in F Major, Op. 8, RV 293, &quot;Autumn&quot;: I. Allegro","90 Driving Classics with Mozart, Chopin &amp; Bach",3790045
39450328,"Mozart",67,295,114941,"Suite bergamasque, L. 75: III. Clair de lune","90 Driving Classics with Mozart, Chopin &amp; Bach",3790045
39454669,"Bluefire",2,402,2164708,"Energetic Shift","Energetic Shift",3790358
39513531,"Roger Vuataz",21,77,2418096,"Epilogue Choral &quot;Notre Père qui es aux cieu&quot; (Extrait de la passion selon Saint Jean, 1ère version), BWV 1080","L'art de la Fugue de Jean Sébastien Bach, BWV 1080",3796781
39528046,"Jennylyn Mercado, Janno Gibbs",11,242,2418955,"Moments of Love","GMA Collection Series: Jennylyn Mercado",3798581
39558345,"Tony Bennett / Lady Gaga",4,193,2367016,"I Can't Give You Anything But Love","Cheek To Cheek",3802405
39584315,"Lata Mangeshkar",12,382,17715,"Mera Saaya Saath Hoga (From &quot;Mera Saaya&quot;)","Flash Back: Lata Mangeshkar",3805039
39607850,"Lata Mangeshkar",11,374,17715,"Mach Gaya Shor (From &quot;Khud-Daar&quot;)","Baap of Bollywood: Amitabh Bachchan",3807401
39622230,"Ricky Martin",2,245,21223,"Adiós (English Version)","Adiós",3809020
39650234,"Johann Sebastian Bach",1,336,6178,"Suite for Orchestra No. 3 in D Major, BWV 1068: II. Air","The Bach Playlist",3812126
39650236,"Johann Sebastian Bach",2,488,6178,"Toccata and Fugue in D Minor, BWV 565","The Bach Playlist",3812126
39653468,"Cannibal Corpse",2,197,111288,"Sadistic Embodiment","A Skeletal Domain",3812525
39664512,"Ferdi Tayfur",1,309,270274,"Yand%u0131 Gönlüm","Ferdifondan Seçmeler, Vol. 6",3813378
39667321,"Rocío Dúrcal",3,272,561750,"Costumbres","La Absoluta Colección",3813753
39702479,"The Quick Are the Dead",4,246,2428143,"The Day That Levee Broke","Sometimes They Come in Threes",3817488
39704503,"Alesso / Tove Lo",1,210,2409785,"Heroes (we could be)","Heroes (we could be)",3817711
39707078,"Ella Eyre",1,202,2021272,"Comeback","Comeback",3818138
39728816,"Lenny Kravitz",2,297,119,"The Chamber","Strut",3821143
39728928,"Lenny Kravitz",5,308,119,"The Pleasure and the Pain","Strut",3821143
